httpRequest.cacheLookup,httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,"'jsonPayload.@type",jsonPayload.backendTargetProjectNumber,jsonPayload.cacheDecision,jsonPayload.cacheId,jsonPayload.remoteIp,jsonPayload.statusDetails,labels.INSTANCE_UID,labels.LOG_BUCKET_NUM,labels.PROJECT_NUMBER,labels.SOURCE_ID,labels.container_name,labels.instanceId,labels.scaling_reason,logName,receiveLocation,receiveTimestamp,resource.labels.backend_service_name,resource.labels.configuration_name,resource.labels.database_id,resource.labels.forwarding_rule_name,resource.labels.location,resource.labels.project_id,resource.labels.region,resource.labels.revision_name,resource.labels.service_name,resource.labels.target_proxy_name,resource.labels.url_map_name,resource.labels.zone,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
,,,,,,,,,,,69943f00000cf61128b5db19,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🔍 [WRAPPER] Test d'exécution du binaire (version)...,"'2026-02-17T10:12:16.849425Z",,
,,,,,,,,,,,69943f00000cf5f061234ef5,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   MONGODB_URL: ✅ Présente","'2026-02-17T10:12:16.849392Z",,
,,,,,,,,,,,69943f00000cf5dde5581d0b,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   REDIS_URL: ✅ Présente","'2026-02-17T10:12:16.849373Z",,
,,,,,,,,,,,69943f00000cf5caf1d06f1d,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   JWT_SECRET: ✅ Présente (longueur: 18)","'2026-02-17T10:12:16.849354Z",,
,,,,,,,,,,,69943f00000cf57e18814c86,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"'   🔍 [WRAPPER] DATABASE_URL se termine par: ...oudsql/yukpo-project:europe-west1:yukpo-postgres","'2026-02-17T10:12:16.849278Z",,
,,,,,,,,,,,69943f00000cf56a55483dd4,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   🔍 [WRAPPER] DATABASE_URL commence par: postgresql://yukpo_user:VTWc%23%25vKZt%3DqewDIfaB!...","'2026-02-17T10:12:16.849258Z",,
,,,,,,,,,,,69943f00000cf549b0f9a422,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.895722157Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   ⚠️ [WRAPPER] ATTENTION: DATABASE_URL contient des retours à la ligne (\n)!","'2026-02-17T10:12:16.849225Z",,
,,,,,,,,,,,69943eff000e866a6ebc24a8,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:16.229492673Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   ⚠️ [WRAPPER] ATTENTION: DATABASE_URL contient des retours à la ligne (\r)!","'2026-02-17T10:12:15.951914Z",,
,,,,,,,,,,,69943eff0003cc98359f9db2,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.561095135Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,"   DATABASE_URL: ✅ Présente (longueur: 123)","'2026-02-17T10:12:15.248984Z",,
,,,,,,,,,,,69943eff0003cc63faf90464,,,,,,,,,,,,00da6cd2c4eb775932ed0608ce2c18d37237460ed010dd9b3e69fdb587a378bbfbd2ee1c61f4bbb7daf813331594dad1f6502e5491816b033364ece764f7c64091f35dcf878c637bbc279f616b57a9,,"'projects/yukpo-project/logs/run.googleapis.com%2Fstdout",,"'2026-02-17T10:12:15.561095135Z",,"'yukpo-backend",,,"'europe-west1","'yukpo-project",,"'yukpo-backend-00136-q4b","'yukpo-backend",,,,cloud_run_revision,,,🔍 [WRAPPER] Variables d'environnement critiques:,"'2026-02-17T10:12:15.248931Z",,
